COM003+3      >600     3.11     0.02     >600     >600     >600     
CSR001+1      >600     >600     segmf    >600     >600     >600     
CSR001+2      >600     >600     segmf    >600     >600     >600     
CSR002+1      >600     >600     segmf    >600     >600     >600     
CSR002+2      >600     >600     segmf    >600     >600     >600     
CSR003+1      >600     >600     segmf    >600     >600     >600     
CSR004+1      >600     >600     segmf    >600     >600     >600     
CSR004+2      >600     >600     segmf    540.03   >600     0.59     
CSR005+1      >600     >600     segmf    >600     >600     >600     
CSR005+2      >600     >600     segmf    >600     >600     >600     
CSR006+1      >600     >600     segmf    >600     >600     >600     
CSR007+1      >600     >600     segmf    >600     >600     >600     
CSR008+1      >600     >600     segmf    >600     >600     >600     
CSR009+1      >600     >600     segmf    >600     >600     >600     
CSR010+1      >600     >600     segmf    >600     >600     >600     
CSR011+1      >600     >600     segmf    >600     >600     >600     
CSR012+1      >600     >600     segmf    >600     >600     >600     
CSR013+1      >600     >600     stack    >600     >600     >600     
CSR014+1      >600     >600     segmf    >600     >600     >600     
CSR015+1      >600     >600     segmf    >600     >600     >600     
CSR016+1      >600     >600     segmf    >600     >600     >600     
CSR017+1      >600     >600     segmf    >600     >600     >600     
CSR018+1      >600     >600     segmf    >600     >600     >600     
CSR019+1      >600     >600     segmf    >600     >600     >600     
CSR020+1      >600     >600     segmf    >600     >600     >600     
CSR021+1      >600     >600     segmf    >600     >600     >600     
CSR022+1      >600     >600     segmf    >600     >600     >600     
CSR023+1      >600     >600     segmf    >600     >600     >600     
CSR024+1.009  >600     >600     stack    >600     >600     stack    
CSR024+1.010  >600     >600     stack    >600     >600     stack    
GEO080+1      >600     >600     segmf    3.74     >600     0.06     
GEO081+1      >600     >600     segmf    >600     >600     >600     
GEO082+1      >600     >600     segmf    >600     >600     >600     
GEO083+1      >600     >600     segmf    >600     >600     >600     
GEO084+1      >600     >600     segmf    >600     >600     >600     
GEO085+1      >600     >600     segmf    >600     >600     >600     
GEO086+1      >600     >600     segmf    >600     >600     >600     
GEO087+1      >600     >600     segmf    >600     >600     >600     
GEO088+1      >600     >600     segmf    >600     >600     >600     
GEO089+1      >600     >600     stack    >600     >600     >600     
GEO090+1      >600     >600     segmf    >600     >600     >600     
GEO091+1      >600     >600     segmf    >600     >600     >600     
GEO092+1      >600     >600     segmf    >600     >600     >600     
GEO093+1      >600     >600     segmf    >600     >600     >600     
GEO094+1      >600     >600     segmf    >600     >600     >600     
GEO095+1      >600     >600     segmf    >600     >600     >600     
GEO096+1      >600     >600     segmf    >600     >600     >600     
GEO097+1      >600     >600     segmf    >600     >600     >600     
GEO098+1      >600     >600     segmf    >600     >600     >600     
GEO099+1      >600     >600     segmf    >600     >600     >600     
GEO100+1      >600     >600     stack    >600     >600     >600     
GEO101+1      >600     >600     segmf    >600     >600     >600     
GEO102+1      >600     >600     segmf    >600     >600     >600     
GEO103+1      >600     >600     segmf    >600     >600     >600     
GEO104+1      >600     >600     segmf    >600     >600     >600     
GEO105+1      >600     >600     segmf    >600     >600     >600     
GEO106+1      >600     >600     segmf    >600     >600     >600     
GEO107+1      >600     >600     segmf    >600     >600     >600     
GEO108+1      >600     >600     segmf    >600     >600     >600     
GEO109+1      >600     >600     segmf    >600     >600     >600     
GEO110+1      >600     >600     segmf    >600     >600     >600     
GEO111+1      >600     >600     segmf    >600     >600     >600     
GEO112+1      >600     >600     segmf    >600     >600     12.90    
GEO113+1      >600     >600     segmf    >600     >600     >600     
GEO114+1      >600     >600     segmf    >600     >600     >600     
GEO115+1      >600     >600     segmf    >600     >600     >600     
GEO116+1      >600     >600     segmf    >600     >600     >600     
GEO117+1      >600     >600     segmf    >600     >600     1.91     
GEO118+1      >600     >600     segmf    >600     >600     1.89     
GEO119+1      >600     >600     segmf    >600     >600     >600     
GEO120+1      >600     >600     segmf    >600     >600     >600     
GEO121+1      >600     >600     segmf    >600     >600     >600     
GEO122+1      >600     >600     segmf    >600     >600     >600     
GEO123+1      >600     >600     segmf    >600     >600     >600     
GEO124+1      >600     >600     segmf    >600     >600     >600     
GEO125+1      >600     >600     segmf    >600     >600     >600     
GEO126+1      >600     >600     segmf    >600     >600     >600     
GEO127+1      >600     >600     segmf    >600     >600     >600     
GEO128+1      >600     >600     segmf    >600     >600     >600     
GEO129+1      >600     >600     segmf    >600     >600     >600     
GEO130+1      >600     >600     segmf    >600     >600     >600     
GEO131+1      >600     >600     segmf    >600     >600     >600     
GEO132+1      >600     >600     segmf    >600     >600     >600     
GEO133+1      >600     >600     segmf    >600     >600     >600     
GEO134+1      >600     >600     segmf    >600     >600     >600     
GEO135+1      >600     >600     segmf    >600     >600     >600     
GEO136+1      >600     >600     segmf    >600     >600     >600     
GEO137+1      >600     >600     segmf    >600     >600     >600     
GEO138+1      >600     >600     segmf    >600     >600     >600     
GEO139+1      >600     >600     segmf    >600     >600     >600     
GEO140+1      >600     >600     segmf    >600     >600     >600     
GEO141+1      >600     >600     segmf    >600     >600     >600     
GEO142+1      >600     >600     segmf    >600     >600     >600     
GEO143+1      >600     >600     segmf    >600     >600     >600     
GEO144+1      >600     >600     segmf    >600     >600     >600     
GEO145+1      >600     >600     segmf    >600     >600     >600     
GEO146+1      >600     >600     segmf    >600     >600     >600     
GEO147+1      >600     >600     segmf    >600     >600     17.40    
GEO148+1      >600     >600     stack    >600     >600     0.10     
GEO149+1      >600     >600     stack    >600     >600     >600     
GEO150+1      >600     >600     segmf    >600     >600     >600     
GEO151+1      >600     >600     segmf    >600     >600     >600     
GEO152+1      >600     >600     stack    >600     >600     >600     
GEO158+1      >600     >600     >600     >600     >600     >600     
GEO159+1      >600     >600     >600     >600     >600     >600     
GEO160+1      >600     >600     >600     >600     >600     >600     
GEO161+1      >600     >600     >600     >600     >600     >600     
GRA002+1      >600     >600     segmf    >600     >600     >600     
GRA002+2      >600     >600     segmf    >600     >600     >600     
GRA002+3      >600     >600     segmf    >600     >600     >600     
GRA002+4      >600     >600     segmf    >600     >600     >600     
GRA003+1      >600     >600     segmf    >600     >600     >600     
GRA004+1      >600     >600     segmf    >600     >600     >600     
GRA005+1      >600     >600     segmf    >600     >600     0.03     
GRA006+1      >600     >600     segmf    >600     >600     >600     
GRA007+1      >600     >600     segmf    >600     >600     >600     
GRA007+2      >600     >600     >600     >600     >600     >600     
GRA008+1      >600     >600     segmf    >600     >600     >600     
GRA008+2      >600     >600     segmf    >600     >600     >600     
GRA009+1      >600     >600     segmf    >600     >600     >600     
GRA009+2      >600     >600     segmf    >600     >600     >600     
GRA010+1      >600     >600     segmf    >600     >600     26.79    
GRA010+2      >600     >600     segmf    >600     >600     30.13    
GRA011+1      >600     >600     segmf    >600     >600     >600     
GRA012+1      >600     >600     segmf    >600     >600     >600     
GRP001+6      >600     >600     stack    >600     >600     >600     
GRP012+5      >600     >600     stack    >600     >600     40.38    
GRP194+1      >600     >600     segmf    >600     >600     >600     
GRP394+3      >600     >600     stack    >600     >600     (<0.01)  
GRP396+1      >600     >600     >600     >600     >600     (<0.01)  
HAL001+1      >600     >600     segmf    >600     >600     >600     
HAL001+2      >600     >600     segmf    >600     >600     >600     
HAL002+1      >600     >600     segmf    >600     >600     >600     
HAL003+1      >600     >600     segmf    >600     >600     >600     
HAL003+2      >600     >600     segmf    >600     >600     >600     
HAL003+3      >600     >600     segmf    >600     >600     >600     
HAL004+1      >600     >600     segmf    >600     >600     >600     
HAL005+1      >600     >600     segmf    >600     >600     >600     
HAL006+1      >600     >600     segmf    >600     >600     >600     
KRS018+1      >600     >600     >600     >600     >600     >600     
KRS019+1      >600     >600     >600     >600     >600     >600     
KRS020+1      >600     >600     >600     >600     >600     >600     
KRS021+1      >600     >600     >600     >600     >600     >600     
KRS022+1      >600     >600     >600     >600     >600     >600     
KRS023+1      >600     >600     >600     >600     >600     >600     
KRS024+1      >600     >600     stack    >600     >600     >600     
KRS025+1      >600     >600     >600     >600     >600     >600     
KRS026+1      >600     >600     mem      >600     >600     >600     
KRS027+1      >600     >600     >600     >600     >600     >600     
